2026-01-31 21:58:56 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-01-31 21:58:56 | INFO     | __main__ | ============================================================
2026-01-31 21:58:56 | INFO     | __main__ | STARTING PDF PROCESSING TEST
2026-01-31 21:58:56 | INFO     | __main__ | ============================================================
2026-01-31 21:58:56 | INFO     | __main__ | Initializing database...
2026-01-31 21:58:56 | DEBUG    | aiosqlite | executing <function connect.<locals>.connector at 0x00000255886C6980>
2026-01-31 21:58:56 | DEBUG    | aiosqlite | operation <function connect.<locals>.connector at 0x00000255886C6980> completed
2026-01-31 21:58:56 | DEBUG    | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x00000255886C18A0>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x00000255886C5C60>, deterministic=True)
2026-01-31 21:58:56 | DEBUG    | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x00000255886C18A0>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x00000255886C5C60>, deterministic=True) completed
2026-01-31 21:58:56 | DEBUG    | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x00000255886C18A0>, 'floor', 1, <built-in function floor>, deterministic=True)
2026-01-31 21:58:56 | DEBUG    | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x00000255886C18A0>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2026-01-31 21:58:56 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x00000255886C18A0>)
2026-01-31 21:58:56 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x00000255886C18A0>) completed
2026-01-31 21:58:56 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x00000255886B94C0>, 'PRAGMA read_uncommitted', [])
2026-01-31 21:58:56 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x00000255886B94C0>, 'PRAGMA read_uncommitted', []) completed
2026-01-31 21:58:56 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x00000255886B94C0>)
2026-01-31 21:58:56 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x00000255886B94C0>) completed
2026-01-31 21:58:56 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x00000255886B94C0>)
2026-01-31 21:58:56 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x00000255886B94C0>) completed
